YEAR,STATE,COUNTY,LNMILES
2000,20,47,"2,047"
2000,20,49,"1,575"
2000,20,51,"3,129"
2000,20,53,"2,354"
2000,20,55,"2,964"
2000,20,57,"3,483"
2000,20,59,"2,465"
2000,20,61,"1,306"
2000,20,63,"2,400"
2000,20,65,"2,486"
2000,20,67,"1,616"
2000,20,69,"2,544"
2000,20,71,"1,354"
2000,20,73,"2,877"
2000,20,75,"1,469"
2000,20,77,"2,844"
2000,20,79,"2,552"
2000,20,81,"1,665"
2000,20,83,"2,134"
2000,20,85,"2,496"
2000,20,87,"2,248"
2000,20,89,"3,292"
2000,20,91,"6,267"
2000,20,93,"1,634"
2000,20,95,"2,958"
2000,20,97,"1,732"
2000,20,99,"2,674"
2000,20,101,"1,442"
2000,20,103,"2,038"
2000,20,105,"2,305"
2000,20,107,"2,368"
2000,20,109,"1,837"
2000,20,111,"3,498"
2000,20,113,"3,743"
2000,20,115,"3,680"
2000,20,117,"3,328"
2000,20,119,"2,032"
2000,20,121,"2,439"
2000,20,123,"2,538"
2000,20,125,"2,960"
2000,20,127,"2,201"
2000,20,129,"1,381"
2000,20,131,"2,851"
2000,20,133,"2,476"
2000,20,135,"2,773"
2000,20,137,"2,706"
2000,20,139,"2,776"
2000,20,141,"2,524"
2000,20,143,"2,477"
2000,20,145,"2,818"
2000,20,147,"2,980"
2000,20,149,"2,705"
2000,20,151,"2,662"
2000,20,153,"2,514"
2000,20,155,"5,582"
2000,20,157,"2,838"
2000,20,159,"2,805"
2000,20,161,"1,946"
2000,20,163,"2,933"
2000,20,165,"2,627"
2000,20,167,"2,909"
2000,20,169,"3,085"
2000,20,171,"1,607"
2000,20,173,"8,514"
2000,20,175,"1,828"
2000,20,177,"3,809"
2000,20,179,"2,693"
2000,20,181,"2,547"
2000,20,183,"3,081"
2000,20,185,"2,899"
2000,20,187,"1,461"
2000,20,189,"2,140"
2000,20,191,"4,833"
2000,20,193,"3,036"
2000,20,195,"2,480"
2000,20,197,"2,095"
2000,20,199,"1,448"
2000,20,201,"3,407"
2000,20,203,"1,652"
2000,20,205,"2,167"
2000,20,207,"1,691"
2000,20,209,"2,524"
2000,21,1,"1,738"
2000,21,3,"1,397"
2000,21,5,817
2000,21,7,849
2000,21,9,"2,323"
2000,21,11,896
2000,21,13,"1,146"
2000,21,15,"1,706"
2000,21,17,793
2000,21,19,"1,287"
2000,21,21,812
2000,21,23,739
2000,21,25,"1,124"
2000,21,27,"1,968"
2000,21,29,"1,297"
2000,21,31,"1,530"
2000,21,33,"1,300"
2000,21,35,"2,177"
2000,21,37,"1,305"
2000,21,39,700
2000,21,41,563
2000,21,43,"1,950"
2000,21,45,"1,551"
2000,21,47,"2,715"
2000,21,49,"1,095"
2000,21,51,"1,635"
2000,21,53,759
2000,21,55,"1,155"
2000,21,57,908
2000,21,59,"2,476"
2000,21,61,942
2000,21,63,916
2000,21,65,930
2000,21,67,"2,938"
2000,21,69,"1,092"
2000,21,71,"1,619"
2000,21,73,"1,129"
2000,21,75,703
2000,21,77,420
2000,21,79,752
2000,21,81,"1,054"
2000,21,83,"2,556"
2000,21,85,"2,033"
2000,21,87,"1,203"
2000,21,89,"1,783"
2000,21,91,732
2000,21,93,"2,904"
2000,21,95,"1,151"
2000,21,97,"1,081"
2000,21,99,"1,629"
2000,21,101,"1,846"
2000,21,103,960
2000,21,105,839
2000,21,107,"2,229"
2000,21,109,"1,451"
2000,21,111,"7,211"
2000,21,113,866
2000,21,115,"1,102"
2000,21,117,"1,765"
2000,21,119,927
2000,21,121,"1,414"
2000,21,123,975
2000,21,125,"2,342"
2000,21,127,"1,286"
2000,21,129,916
2000,21,131,"1,066"
2000,21,133,"1,333"
2000,21,135,"1,323"
2000,21,137,"1,351"
2000,21,139,"1,034"
2000,21,141,"2,073"
2000,21,143,"1,081"
2000,21,145,"1,778"
2000,21,147,"1,561"
2000,21,149,913
2000,21,151,"1,890"
2000,21,153,"1,148"
2000,21,155,"1,050"
2000,21,157,"1,777"
2000,21,159,569
2000,21,161,904
2000,21,163,"1,054"
2000,21,165,629
2000,21,167,"1,002"
2000,21,169,"1,253"
2000,21,171,"1,248"
2000,21,173,739
2000,21,175,"1,347"
2000,21,177,"1,645"
2000,21,179,"1,535"
2000,21,181,614
2000,21,183,"2,009"
2000,21,185,985
2000,21,187,985
2000,21,189,718
2000,21,191,963
2000,21,193,"1,310"
2000,21,195,"2,735"
2000,21,197,819
2000,21,199,"3,448"
2000,21,201,307
2000,21,203,"1,348"
2000,21,205,"1,083"
2000,21,207,"1,342"
2000,21,209,"1,114"
2000,21,211,"1,245"
2000,21,213,"1,036"
2000,21,215,704
2000,21,217,"1,206"
2000,21,219,"1,192"
2000,21,221,"1,614"
2000,21,223,567
2000,21,225,"1,243"
2000,21,227,"2,853"
2000,21,229,948
2000,21,231,"1,347"
2000,21,233,"1,266"
2000,21,235,"1,867"
2000,21,237,919
2000,21,239,732
2000,22,1,"2,705"
2000,22,3,"1,642"
2000,22,5,"1,483"
2000,22,7,702
2000,22,9,"1,807"
2000,22,11,"2,558"
2000,22,13,"2,079"
2000,22,15,"2,792"
2000,22,17,"4,810"
2000,22,19,"4,392"
2000,22,21,"1,212"
2000,22,23,826
2000,22,25,"1,194"
2000,22,27,"2,167"
2000,22,29,"1,118"
2000,22,31,"2,282"
2000,22,33,"4,636"
2000,22,35,940
