STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,275,,,,,,,,,,,,,,,260.147,260.016,292.15,282.326,282.244,293.454,293.256
2,282,,,,,,,,,,,,,,,325.03,325.54,214.588,190.85,169.612,187.084,159.65
2,290,,,,,,,,,,,,,,,3028.512,3188.104,2656.64,2600.756,2684.398,2837.498,2779.238
2,999,13138,14736.2,15710,13324,12944,164.428,88.586,38.554,60.436,52,,,,,,,,,,,
4,1,7989.656,8032.299,8159.872,8141.706,8139.961,8268.628,8443.966,8447.618,8433.942,,10729.658,10840.383,11174.719,10987.375,10729.46,10836.613,11361.154,11458.242,11429,11744.59,11040.94
4,3,5127.113,5662.269,5644.099,5670.805,5735.463,5900.711,6032.935,6035.494,6034.46,,6007.106,6192.863,6445.833,6452.846,6294.566,6466.464,6474.024,6477.945,6510.264,6637.685,6087.781
4,5,10664.648,10272.651,11553.945,11193.609,11263.648,10501.025,10703.895,10686.859,10628.477,,12315.325,12682.32,12830.597,13076.146,12574.47,12849.717,12839.537,12842.572,12855.523,13280.335,12678.167
4,7,3633.125,3676.555,3726.761,3674.113,3698.56,3318.487,3352.356,3324.842,3414.73,,3495.671,3577.341,4231.167,4210.91,4168.178,4200.715,4223.811,4187.017,4163.115,4177,3906.815
4,9,2789.907,2775.671,2785.383,2809.39,2859.241,2861.37,2864.657,2858.236,2859.837,,2845.136,3357.03,3677.418,3732.667,3758.515,3791.551,3829.421,3894.837,3837.028,3962.349,3517.233
4,11,1259.097,1282.154,1362.614,1318.515,1416.714,1414.296,1387.957,1391.519,1409.926,,1407.077,1483.611,1544.974,1545.31,1471.92,1615.167,1638.239,1556.111,1587.523,1603.231,1566.369
4,12,3964.662,3258.641,3254.451,3254.297,3253.599,3432.845,3338.97,3347.676,3323.024,,3682.097,3682.144,3715.646,3833.672,3580.189,3594.562,3597.922,3677.82,3681.899,3740.476,3615.186
4,13,31186.19,31486.663,34222.109,34001.672,34885.084,36334.271,37205.946,38206.114,38286.729,,38788.498,39215.406,39407.825,39834.622,39903.033,39918.972,39910.544,40030.116,40054.187,41116.435,41055.825
4,15,8790.159,8527.351,8701.995,8771.895,8643.572,9077.24,9215.435,9321.082,9344.504,,9832.557,9921.211,10275.043,10419.278,10320.917,10389.156,10360.505,11387.956,11360.699,11367.781,10998.695
4,17,7614.415,7541.59,7303.049,7320.345,7349.586,7848.727,7967.002,8081.356,8016,,10275.64,10340.884,10653.678,11622.19,11161.401,11312.72,11020.684,11046.425,11100.217,11237.033,10827.206
4,19,12933.226,13369.565,13197.298,14271.43,14294.885,14084.677,14238.659,14155.732,14027.054,,14117.472,14076.273,14722.087,14965.835,15027.283,15237.861,14992.439,14985.337,15290.837,15484.716,14739.335
4,21,7965.25,7995.003,8021.821,8290.8,8286.505,8947.871,9385.007,9590.102,9491.815,,9615.996,9628.646,9922.12,9982.983,9945.861,9955.767,9927.142,9940.492,9946.845,10304.109,9916.766
4,23,2403.194,2466.938,2469.372,2464.162,2470.325,2411.351,2443.769,2442.621,2430.898,,2446.41,2327.085,2496.093,2543.643,2570.785,2556.773,2557.089,2581.51,2572.069,2622.834,2447.104
4,25,6322.518,6221.969,6223.445,6270.351,6407.226,6856.634,6923.073,6188.347,6205.107,,6449.17,6479.97,7024.274,6972.159,6971.542,7022.292,7010.749,6989.224,6979.373,7247.971,6572.815
4,27,5793.63,6021.122,6094.326,6117.688,6250.318,7311.786,7347.26,7427.388,7449.085,,7662.173,7676.177,7752.592,7810.172,7943.658,7947.571,7903.563,7702.961,7829.99,7870.081,7790.636
5,1,3390.27,3348.41,3348.94,3348.24,3348.08,3350.96,3361.98,3360.82,3358.46,,3353.64,3349.45,3350.95,3387.87,3381.01,3374.92,3375.262,3366.122,3052.226,2965.792,2965.648
5,3,2376.17,2447.49,2459.86,2466.96,2480.28,2481.36,2485.77,2474.68,2472.35,,2470.92,2486.91,2485.59,2590.36,2580.73,2580.73,2577.062,2576.488,3794.953,3556.963,3586.923
5,5,3331.14,3425.8,3426.19,3406.19,3403.19,3406.6,3405.26,3405.71,3408.55,,3412.22,3422.18,3420.28,3495.86,3471,3473.3,3473.334,3475.139,3268.147,2967.071,3058.337
5,7,6388.41,6481.79,6484.19,6499.02,6509.48,6512.3,6540.78,7592.1,7618.98,,7834.98,7845.16,7825.11,8321.91,9341.58,9357.48,9358.125,9424.796,8842.31,7294.661,7362.551
5,9,2858.52,2875.98,2875.98,2874.34,2873.94,2874.12,2882.88,2882.88,2889.52,,2933.6,2926.16,2921.7,3015.42,3006.14,3006.14,3005.834,2999.626,2760.394,2633.482,2655.634
