YEAR,STATE_CODE,COUNTY_CODE,LNMILES
2000,17.0,107.0,2705.16
2000,17.0,109.0,2557.0
2000,17.0,111.0,3718.79
2000,17.0,113.0,5889.75
2000,17.0,115.0,3575.94
2000,17.0,117.0,3555.98
2000,17.0,119.0,5387.12
2000,17.0,121.0,2899.69
2000,17.0,123.0,1515.96
2000,17.0,125.0,1919.98
2000,17.0,127.0,1034.86
2000,17.0,129.0,1165.38
2000,17.0,131.0,2105.66
2000,17.0,133.0,1400.96
2000,17.0,135.0,3182.98
2000,17.0,137.0,2447.23
2000,17.0,139.0,1475.66
2000,17.0,141.0,3213.08
2000,17.0,143.0,3987.98
2000,17.0,145.0,1564.04
2000,17.0,147.0,1944.68
2000,17.0,149.0,3067.0
2000,17.0,151.0,903.3
2000,17.0,153.0,809.76
2000,17.0,155.0,644.44
2000,17.0,157.0,2094.02
2000,17.0,159.0,1785.96
2000,17.0,161.0,2915.86
2000,17.0,163.0,4911.51
2000,17.0,165.0,1739.14
2000,17.0,167.0,5133.33
2000,17.0,169.0,1592.15
2000,17.0,171.0,937.12
2000,17.0,173.0,3326.72
2000,17.0,175.0,1104.3
2000,17.0,177.0,2624.93
2000,17.0,179.0,3531.97
2000,17.0,181.0,1396.33
2000,17.0,183.0,4227.12
2000,17.0,185.0,910.07
2000,17.0,187.0,2320.72
2000,17.0,189.0,2109.21
2000,17.0,191.0,3128.95
2000,17.0,193.0,2307.92
2000,17.0,195.0,3054.57
2000,17.0,197.0,6156.96
2000,17.0,199.0,2405.8
2000,17.0,201.0,4731.01
2000,17.0,203.0,2314.7
2000,18.0,1.0,1781.94
2000,18.0,3.0,5564.5
2000,18.0,5.0,2194.4
2000,18.0,7.0,1750.16
2000,18.0,9.0,863.42
2000,18.0,11.0,2281.5
2000,18.0,13.0,909.12
2000,18.0,15.0,1828.32
2000,18.0,17.0,2293.41
2000,18.0,19.0,1882.05
2000,18.0,21.0,1789.6
2000,18.0,23.0,2038.72
2000,18.0,25.0,1204.2
2000,18.0,27.0,1998.24
2000,18.0,29.0,1480.05
2000,18.0,31.0,1674.76
2000,18.0,33.0,1980.56
2000,18.0,35.0,2873.66
2000,18.0,37.0,1846.22
2000,18.0,39.0,3540.15
2000,18.0,41.0,966.5
2000,18.0,43.0,1134.36
2000,18.0,45.0,1792.78
2000,18.0,47.0,1512.74
2000,18.0,49.0,1915.12
2000,18.0,51.0,2522.5
2000,18.0,53.0,2569.08
2000,18.0,55.0,2297.26
2000,18.0,57.0,3270.34
2000,18.0,59.0,1861.0
2000,18.0,61.0,2048.26
2000,18.0,63.0,2381.1
2000,18.0,65.0,2268.96
2000,18.0,67.0,1994.66
2000,18.0,69.0,2045.06
