state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201510080,A,R,107028,Acrolein,.00467192,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201110080,A,R,100414,Ethyl Benzene,55.4546,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201110080,A,R,1330207,Xylenes (Mixed Isomers),206.456,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201110080,A,R,100425,Styrene,1.429248,LB,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202430080,A,R,NOX,Nitrogen Oxides,2.44551,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201510080,A,R,50000,Formaldehyde,.00230814,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,50000,Formaldehyde,9.4326,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201520080,A,R,50000,Formaldehyde,.615434,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202210080,A,R,106990,"1,3-Butadiene",.014484,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,N2O,Nitrous Oxide,.000180107,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201610080,A,R,1330207,Xylenes (Mixed Isomers),.00427404,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201110080,A,R,100425,Styrene,4.1205,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202320080,A,R,100414,Ethyl Benzene,15.69728,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202430080,A,R,540841,"2,2,4-Trimethylpentane",1.437904,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202610080,A,R,108883,Toluene,20.2936,LB,2014NEIV2
,,"Morongo Band of Cahuilla Mission Indians of the Morongo Reservation, California",ON,,2202000062,A,R,VOC,Volatile Organic Compounds,.015,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,110543,Hexane,1.009706,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201110080,A,R,110543,Hexane,42.1376,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,NOX,Nitrogen Oxides,.00333948,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2203420080,A,R,1330207,Xylenes (Mixed Isomers),0,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201420080,A,R,540841,"2,2,4-Trimethylpentane",.01398522,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201610080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0000877871,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202310080,A,R,71432,Benzene,126.2168,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202320080,A,R,NOX,Nitrogen Oxides,3.98097,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201320080,A,R,NOX,Nitrogen Oxides,3.31049,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201210080,A,R,CO,Carbon Monoxide,258.645,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201310080,A,R,50000,Formaldehyde,26.8524,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,106990,"1,3-Butadiene",4.09244,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,7439965,Manganese,.000990696,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,NH3,Ammonia,.00305536,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,123386,Propionaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,CO,Carbon Monoxide,.160331,TON,2014NEIV2
