"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","4249","Z",,48,"G",,5262
"01","4249","S",,757,"G",,34989
"01","4249","P",,37,"G",,3495
"01","42491","-",,41,"G",,2528
"01","42491","Z","D",0,"D","D",0
"01","42491","S",,38,"G",,2122
"01","42491","P","D",0,"D","D",0
"01","42492","-",,161,"G",,3317
"01","42492","C","D",0,"D","D",0
"01","42492","Z","D",0,"D","D",0
"01","42492","S",,155,"G",,3189
"01","42492","P","D",0,"D","D",0
"01","42493","-",,138,"G",,6575
"01","42493","C","D",0,"D","D",0
"01","42493","Z",,7,"H",,708
"01","42493","S",,126,"G",,5641
"01","42493","P",,4,"G",,166
"01","42494","-",,10,"H",,1263
"01","42494","C","D",0,"D","D",0
"01","42494","Z","D",0,"D","D",0
"01","42494","S","D",0,"D","D",0
"01","42494","P","D",0,"D","D",0
"01","42495","-",,32,"G",,1010
"01","42495","C","D",0,"D","D",0
"01","42495","Z","D",0,"D","D",0
"01","42495","S",,30,"G",,948
"01","42499","-",,471,"G",,29785
"01","42499","C","D",0,"D","D",0
"01","42499","Z",,35,"G",,4020
"01","42499","S",,402,"G",,22946
"01","42499","P",,28,"G",,2570
"01","425","-",,671,"G",,46140
"01","425","C",,7,"H",,1053
"01","425","Z",,38,"H",,4097
"01","425","S",,585,"G",,37055
"01","425","P",,41,"G",,3935
"01","4251","-",,671,"G",,46140
"01","4251","C",,7,"H",,1053
"01","4251","Z",,38,"H",,4097
"01","4251","S",,585,"G",,37055
"01","4251","P",,41,"G",,3935
"01","42511","-",,99,"H",,8424
"01","42511","Z","D",0,"D","D",0
"01","42511","S",,88,"H",,7503
"01","42511","P",,9,"H",,833
"01","42512","-",,572,"G",,37716
"01","42512","C",,7,"H",,1053
"01","42512","Z",,36,"H",,4009
"01","42512","S",,497,"G",,29552
"01","42512","P",,32,"G",,3102
"01","441","-",,3352,"G",,391382
"01","441","C",,33,"G",,7223
"01","441","Z",,176,"G",,34359
"01","441","S",,2983,"G",,325815
"01","441","P",,160,"G",,23985
"01","4411","-",,2270,"G",,304027
"01","4411","C",,22,"G",,5986
"01","4411","Z",,111,"H",,21582
"01","4411","S",,2037,"G",,260353
"01","4411","P",,100,"G",,16106
"01","44112","-",,2270,"G",,304027
"01","44112","C",,22,"G",,5986
"01","44112","Z",,111,"H",,21582
"01","44112","S",,2037,"G",,260353
"01","44112","P",,100,"G",,16106
"01","4412","-",,415,"G",,42221
"01","4412","C",,8,"G",,973
"01","4412","Z",,22,"G",,4914
"01","4412","S",,358,"H",,33143
"01","4412","P",,27,"G",,3191
"01","44121","-",,71,"G",,12221
"01","44121","C","D",0,"D","D",0
"01","44121","Z","D",0,"D","D",0
"01","44121","S",,56,"G",,10664
"01","44121","P",,7,"H",,647
"01","44122","-",,344,"G",,30000
"01","44122","C",,6,"G",,926
"01","44122","Z",,16,"G",,4051
"01","44122","S",,302,"H",,22479
"01","44122","P",,20,"G",,2544
"01","441222","-",,62,"H",,8936
"01","441222","Z",,7,"H",,2080
"01","441222","S","D",0,"D","D",0
"01","441222","P",,8,"G",,1241
"01","441228","-",,282,"G",,21064
"01","441228","C",,6,"G",,926
"01","441228","Z",,9,"G",,1971
"01","441228","S",,255,"G",,16864
"01","441228","P",,12,"H",,1303
"01","4413","-",,667,"G",,45134
"01","4413","C","D",0,"D","D",0
"01","4413","Z",,43,"G",,7863
"01","4413","S",,588,"G",,32319
"01","4413","P",,33,"H",,4688
"01","442","-",,698,"G",,38039
"01","442","C",,21,"G",,2279
"01","442","Z",,51,"H",,8317
"01","442","S",,566,"G",,21127
"01","442","P",,60,"G",,6316
"01","4421","-",,273,"G",,12407
"01","4421","C",,9,"G",,609
"01","4421","Z",,15,"G",,1868
"01","4421","S",,226,"G",,8815
"01","4421","P",,23,"G",,1115
"01","44211","-",,273,"G",,12407
"01","44211","C",,9,"G",,609
"01","44211","Z",,15,"G",,1868
"01","44211","S",,226,"G",,8815
"01","44211","P",,23,"G",,1115
"01","4422","-",,425,"G",,25632
"01","4422","C",,12,"H",,1670
"01","4422","Z",,36,"H",,6449
"01","4422","S",,340,"G",,12312
"01","4422","P",,37,"G",,5201
"01","443","-",,310,"G",,13560
"01","443","C",,7,"H",,423
"01","443","Z",,25,"G",,3294
"01","443","S",,262,"G",,8615
"01","443","P",,16,"H",,1228
"01","4431","-",,310,"G",,13560
"01","4431","C",,7,"H",,423
"01","4431","Z",,25,"G",,3294
"01","4431","S",,262,"G",,8615
"01","4431","P",,16,"H",,1228
"01","44314","-",,310,"G",,13560
"01","44314","C",,7,"H",,423
"01","44314","Z",,25,"G",,3294
"01","44314","S",,262,"G",,8615
"01","44314","P",,16,"H",,1228
"01","443141","-",,69,"G",,3392
"01","443141","C","D",0,"D","D",0
"01","443141","Z",,7,"H",,1804
"01","443141","S",,60,"H",,1382
"01","443141","P","D",0,"D","D",0
"01","443142","-",,241,"G",,10168
"01","443142","C",,6,"H",,218
"01","443142","Z",,18,"H",,1490
"01","443142","S",,202,"G",,7233
"01","443142","P",,15,"H",,1227
"01","444","-",,745,"G",,47955
"01","444","C",,15,"H",,1710
"01","444","Z",,49,"G",,6652
"01","444","S",,653,"G",,33432
"01","444","P",,28,"G",,6161
"01","4441","-",,462,"G",,37035
