State_Cd,COUNTY_CD,fsystem_cd,VMT,VMT_Total,Year
5,119,4,2398605.47,875490996.6,2011
5,119,5,997080.07,363934225.6,2011
5,119,6,6934.84,2531216.6,2011
5,121,3,141509.7,51651040.5,2011
5,121,4,129786.35,47372017.75,2011
5,121,5,78357.05,28600323.25,2011
5,123,1,1331100,485851500,2011
5,123,3,109937.48,40127180.2,2011
5,123,4,129582.62,47297656.3,2011
5,123,5,138132.4,50418326,2011
5,125,1,1322678.33,482777590.5,2011
5,125,3,223928.96,81734070.4,2011
5,125,4,530520.65,193640037.3,2011
5,125,5,397124.47,144950431.6,2011
5,125,6,739.96,270085.4,2011
5,127,3,203528.97,74288074.05,2011
5,127,4,3348,1222020,2011
5,127,5,95117.46,34717872.9,2011
5,129,3,192044.69,70096311.85,2011
5,129,4,24601.6,8979584,2011
5,129,5,49359.63,18016264.95,2011
5,131,1,516190,188409350,2011
5,131,2,12540,4577100,2011
5,131,3,1010381.65,368789302.3,2011
5,131,4,658594.77,240387091.1,2011
5,131,5,429117.09,156627737.9,2011
5,131,6,592.17,216142.05,2011
5,133,3,237130.16,86552508.4,2011
5,133,4,90246.02,32939797.3,2011
5,133,5,69017.62,25191431.3,2011
5,133,6,148.05,54038.25,2011
5,135,3,267928.04,97793734.6,2011
5,135,4,10482.92,3826265.8,2011
5,135,5,87277.3,31856214.5,2011
5,137,4,140308.12,51212463.8,2011
5,137,5,96213.39,35117887.35,2011
5,139,2,39319.67,14351679.55,2011
5,139,3,533383.14,194684846.1,2011
5,139,4,136211.28,49717117.2,2011
5,139,5,263025.11,96004165.15,2011
5,141,3,301359.2,109996108,2011
5,141,4,16824.16,6140818.4,2011
5,141,5,219280.54,80037397.1,2011
5,143,1,1249069.68,455910433.2,2011
5,143,2,83853.7,30606600.5,2011
5,143,3,1389434.67,507143654.6,2011
5,143,4,875973.91,319730477.2,2011
5,143,5,724569.7,264467940.5,2011
5,143,6,3303,1205595,2011
5,145,2,748240,273107600,2011
5,145,3,287692.71,105007839.2,2011
5,145,4,485626.29,177253595.9,2011
5,145,5,552491.05,201659233.3,2011
5,147,4,118342.38,43194968.7,2011
5,147,5,69644.98,25420417.7,2011
5,149,3,103368.62,37729546.3,2011
5,149,4,233156.54,85102137.1,2011
5,149,5,106735.5,38958457.5,2011
6,1,1,18911520,6902704800,2011
6,1,2,1621620,591891300,2011
6,1,3,4654232.4,1698794826,2011
6,1,4,4972543.87,1814978513,2011
6,1,5,2163187.54,789563452.1,2011
6,3,3,77923.25,28441986.25,2011
6,3,4,49433.35,18043172.75,2011
6,3,5,19911,7267515,2011
6,5,3,445084,162455660,2011
6,5,4,320495.5,116980857.5,2011
6,5,5,173632.77,63375961.05,2011
6,7,2,413754.97,151020564.1,2011
6,7,3,1630441.93,595111304.5,2011
6,7,4,1003930.86,366434763.9,2011
6,7,5,933956.86,340894253.9,2011
6,9,4,754487.25,275387846.3,2011
6,9,5,204762.26,74738224.9,2011
6,11,1,944835,344864775,2011
6,11,2,43852,16005980,2011
6,11,3,209441.5,76446147.5,2011
6,11,4,49901,18213865,2011
6,11,5,123552.95,45096826.75,2011
6,13,1,7095000,2589675000,2011
6,13,2,4474251.99,1633101976,2011
6,13,3,4654885.98,1699033383,2011
6,13,4,3234620.85,1180636610,2011
6,13,5,1508534.39,550615052.4,2011
6,15,3,380349.5,138827567.5,2011
6,15,4,14084,5140660,2011
6,15,5,160420.26,58553394.9,2011
6,17,2,711332,259636180,2011
6,17,3,1292736.94,471848983.1,2011
6,17,4,1316574.96,480549860.4,2011
6,17,5,540170.11,197162090.2,2011
6,19,1,2196217.5,801619387.5,2011
6,19,2,4131786.95,1508102237,2011
6,19,3,3282606.55,1198151391,2011
6,19,4,4361742.22,1592035910,2011
6,19,5,2340014.49,854105288.9,2011
6,21,1,687890,251079850,2011
6,21,3,130712.21,47709956.65,2011
6,21,4,156663.93,57182334.45,2011
6,21,5,157901.84,57634171.6,2011
6,23,2,630026.5,229959672.5,2011
6,23,3,1067544.12,389653603.8,2011
6,23,4,486491.01,177569218.7,2011
6,23,5,598681.7,218518820.5,2011
6,25,1,1232777,449963605,2011
6,25,2,63591.5,23210897.5,2011
6,25,3,1350182.04,492816444.6,2011
6,25,4,849792.95,310174426.8,2011
6,25,5,811737.83,296284308,2011
6,27,2,2878.5,1050652.5,2011
6,27,3,870833.2,317854118,2011
6,27,4,151473.45,55287809.25,2011
6,27,5,201736.32,73633756.8,2011
6,29,1,3136040,1144654600,2011
6,29,2,2776952.32,1013587597,2011
6,29,3,8109600.71,2960004259,2011
6,29,4,3689186.94,1346553233,2011
6,29,5,1820374.71,664436769.2,2011
6,31,1,864590,315575350,2011
6,31,2,201290,73470850,2011
6,31,3,987522.27,360445628.6,2011
6,31,4,864136.42,315409793.3,2011
6,31,5,473224.09,172726792.9,2011
6,33,3,552377,201617605,2011
6,33,4,498360.15,181901454.8,2011
6,33,5,438665.23,160112809,2011
