fips code,total emissions,YEAR
72031,377246.28905340907,2017
72033,60237.224943436595,2017
72035,104111.43713048704,2017
72037,27425.91079772473,2017
72039,39805.565292331434,2017
72041,94434.60089712091,2017
72043,98941.6903562267,2017
72045,45837.095694858326,2017
72047,80994.36454148366,2017
72049,4350.799928350658,2017
72051,90063.24053218501,2017
72053,74069.35882161137,2017
72054,28132.615721899027,2017
72055,39639.46772859864,2017
72057,98449.8653338323,2017
72059,44115.44206314217,2017
72061,212442.21315468565,2017
72063,113620.16698381079,2017
72065,96254.46977786854,2017
72067,38790.385703252316,2017
72069,128069.38265789273,2017
72071,100678.07685660647,2017
72073,37121.266896559384,2017
72075,111927.59338032846,2017
72077,93778.63283013564,2017
72079,55404.08322679593,2017
72081,61619.07172120121,2017
72083,20292.519301479526,2017
72085,90347.91353742778,2017
72087,63569.00991704392,2017
72089,43231.57880796532,2017
72091,94982.81803674789,2017
72093,14007.077417676383,2017
72095,26264.491894425588,2017
72097,182985.80738618743,2017
72099,87756.16164098839,2017
72101,74656.3552119039,2017
72103,62645.14825783921,2017
72105,67629.68622627812,2017
72107,49826.42492975758,2017
72109,40318.72006962169,2017
72111,48541.17427434659,2017
72113,343919.24841602216,2017
72115,57147.019646940804,2017
72117,34195.958813662466,2017
72119,118602.87108781522,2017
72121,54331.28000981154,2017
72123,71910.70844132312,2017
72125,75322.6648511268,2017
72127,826576.1058897865,2017
72129,89751.28918965058,2017
72131,89561.11699686924,2017
72133,56968.7106370415,2017
72135,177311.95845760326,2017
72137,192992.14765921124,2017
72139,162368.14047117232,2017
72141,72872.43528547334,2017
72143,90335.01065368966,2017
72145,127888.13069579362,2017
72147,22607.984984292932,2017
72149,52320.06567129393,2017
72151,81277.99341572345,2017
72153,84286.60741086221,2017
78010,131044.17267694103,2017
78020,11625.389528236758,2017
78030,137920.9148222647,2017
1001,489359.527226784,2017
1003,2164984.684407033,2017
1005,204668.3393507789,2017
1007,168891.31062251038,2017
1009,447570.508784277,2017
1011,80062.35838611529,2017
1013,442271.9393501516,2017
1015,845804.6046315939,2017
1017,308716.65568563703,2017
1019,181109.82540539527,2017
1021,585106.7803834504,2017
1023,105392.11127296119,2017
1025,193513.79715594984,2017
1027,89331.8817064891,2017
1029,343399.36508808815,2017
1031,347076.614822711,2017
1033,444385.54175854445,2017
1035,296587.5075694119,2017
1037,117418.02421901093,2017
1039,295163.5119118186,2017
1041,116283.7000187782,2017
1043,808040.63361407,2017
1045,405786.955112567,2017
1047,273501.90289368737,2017
1049,612597.747886179,2017
1051,597106.346160708,2017
1053,445765.289589059,2017
1055,767676.6228937766,2017
1057,111009.2325597131,2017
1059,215149.97026222665,2017
1061,190119.75025887004,2017
1063,262497.6897373881,2017
1065,112273.54324021761,2017
1067,160768.12675775492,2017
1069,775167.623636865,2017
1071,419738.70555899397,2017
1073,5660751.448283617,2017
1075,92452.4868106567,2017
1077,584850.1730974003,2017
1079,289860.2458051571,2017
1081,1138005.2708898187,2017
1083,912140.781588604,2017
1085,269321.4026784891,2017
1087,400859.4428205651,2017
1089,2537931.489849027,2017
1091,167703.90518995599,2017
1093,339226.5604957374,2017
1095,616233.038880736,2017
1097,3279176.632362943,2017
1099,149210.20479137063,2017
1101,1950677.5040367069,2017
1103,962336.2786844723,2017
1105,61470.964026909736,2017
1107,149622.370430316,2017
1109,292946.0982048474,2017
1111,144922.61237248234,2017
1113,433919.527285107,2017
1115,921618.5768733061,2017
1117,1583931.565319701,2017
1119,254966.48062067787,2017
1121,736871.178987007,2017
1123,318430.5889513825,2017
1125,1851067.9635863833,2017
1127,603665.194892117,2017
1129,161577.5964058764,2017
1131,92227.37891279327,2017
1133,147049.3927167753,2017
12001,1983486.244494975,2017
12003,697027.269017775,2017
12005,1045379.205551106,2017
12007,354366.966173595,2017
12009,2713131.2537583853,2017
12011,8957294.06860456,2017
12013,133366.1515987744,2017
12015,941069.8204324625,2017
12017,644619.6864831732,2017
12019,1053742.8217645157,2017
12021,2095336.1061640969,2017
12023,848363.6374368139,2017
12027,442193.9440709014,2017
12029,124101.54168797002,2017
12031,5942682.600215591,2017
12033,1743246.05348154,2017
12035,614399.384349919,2017
12037,85853.8326610192,2017
12039,647604.0635947208,2017
12041,136574.2141304946,2017
12043,200738.7451983467,2017
12045,84779.660165808,2017
12047,409258.3539244563,2017
12049,330109.58419966145,2017
12051,284757.17085058097,2017
12053,929672.2092452754,2017
12055,521717.522632019,2017
12057,7784779.3650887,2017
12059,284700.253912781,2017
12061,1152543.0209618248,2017
12063,617756.50173489,2017
12065,439852.9764306005,2017
12067,64908.471416968,2017
12069,1610075.9676614741,2017
12071,3072905.923681711,2017
12073,1548503.83638675,2017
12075,392021.153711776,2017
12077,83617.59782889001,2017
12079,498681.748557582,2017
12081,1889785.140530452,2017
12083,2282924.35331983,2017
12085,1962993.4235896482,2017
12086,10942119.925861875,2017
12087,414927.1410278743,2017
12089,700317.97319053,2017
12091,1333024.4409186095,2017
12093,398724.830148765,2017
12095,7074273.901394952,2017
12097,7035418.469790731,2017
12099,7694766.866735904,2017
12101,2023327.2017507614,2017
12103,3724967.52056303,2017
12105,3615719.092678206,2017
12107,615216.40762092,2017
12109,2209602.980527641,2017
12111,1705920.181986887,2017
12113,940080.9749390332,2017
12115,2294706.417418669,2017
12117,1937895.877290351,2017
12119,1020780.8689683484,2017
12121,499782.0284407005,2017
12123,233296.1974780684,2017
12125,141976.02007116668,2017
12127,2968532.26707051,2017
12129,181040.795306383,2017
12131,778915.3854957462,2017
12133,205037.81322409358,2017
13001,177440.29020096982,2017
13003,72208.76360714856,2017
13005,82735.52294238184,2017
13007,37041.88240791458,2017
13009,261915.11662575696,2017
13011,199537.51744938837,2017
13013,473517.1318314541,2017
13015,1132535.0071544037,2017
13017,106818.56873219027,2017
13019,117289.54691448291,2017
13021,1358496.6490932796,2017
13023,98971.6705123849,2017
13025,120411.61702223902,2017
13027,118985.28103317808,2017
13029,488379.5544570121,2017
13031,644885.5375665064,2017
13033,212797.86714288517,2017
13035,257015.69934221913,2017
13037,39751.30923053709,2017
13039,633507.6151600282,2017
13043,173872.3262852221,2017
13045,937464.4301101038,2017
13047,571371.6738453939,2017
13049,96090.64382602647,2017
13051,2334399.114795628,2017
13053,53190.524678237416,2017
13055,157458.04062983065,2017
13057,1177280.8192533976,2017
13059,646343.158316799,2017
13061,26059.650689958693,2017
13063,1525235.1759783078,2017
13065,67586.00707873123,2017
13067,4479192.239606318,2017
13069,285969.76592430705,2017
13071,286394.0325597082,2017
13073,873402.3432792096,2017
13075,358126.1590945827,2017
13077,930582.5542349988,2017
13079,67761.02217442321,2017
13081,344997.0595807406,2017
13083,275310.39187332516,2017
13085,156435.77230734084,2017
13087,231000.05678120168,2017
13089,4265268.925488192,2017
13091,143115.40743914284,2017
13093,331008.6392846941,2017
13095,588656.3487010197,2017
13097,934180.7972931018,2017
13099,91669.6212262092,2017
13101,28646.306128666307,2017
13103,354320.0538694113,2017
13105,121154.84046517289,2017
13107,261575.5219921219,2017
13109,66329.74864820165,2017
13111,154432.51609473114,2017
13113,508445.5045220436,2017
13115,695851.6021215518,2017
13117,1189053.9282327988,2017
13119,386418.50073849777,2017
13121,7234989.806051243,2017
13123,182211.5552837717,2017
13125,17454.03809356723,2017
13127,770894.0254796757,2017
13129,571148.8293734111,2017
13131,179406.4356135749,2017
13133,225671.74337630995,2017
13135,4600451.7380472375,2017
13137,310233.0093567808,2017
13139,1211312.8420833813,2017
13141,56767.34185932383,2017
13143,261991.9266101425,2017
13145,339718.7398777425,2017
13147,175944.90560864465,2017
13149,75696.89192802,2017
13151,1331278.7563804612,2017
13153,941398.0298062408,2017
13155,80789.98685303325,2017
13157,756357.7474884504,2017
13159,86855.67318650402,2017
13161,89404.04613728996,2017
13163,142594.91380762268,2017
13165,75614.39174962456,2017
13167,58064.34164095852,2017
13169,181066.5575306704,2017
13171,206877.75901657538,2017
13173,53971.254366969195,2017
13175,542946.0597940158,2017
13177,191839.34419410067,2017
13179,567271.0769870366,2017
13181,46164.47344379248,2017
13183,108822.01326715134,2017
13185,1059172.8559893067,2017
13187,162878.32286192419,2017
13189,252389.55208019918,2017
13191,386688.0456243807,2017
13193,93785.4023801659,2017
13195,185112.57706918792,2017
13197,47816.28504729525,2017
13199,195225.56398519952,2017
13201,55514.667430958776,2017
13205,181270.69036470118,2017
13207,681256.6446437682,2017
13209,65978.30956414847,2017
13211,348709.9122528636,2017
13213,208762.91002691933,2017
13215,1187610.9078470117,2017
13217,629903.7312927931,2017
13219,336402.87822756823,2017
13221,89926.76505432546,2017
13223,614455.5292600805,2017
13225,363311.6701890479,2017
13227,214245.0074131913,2017
13229,127327.06772626619,2017
13231,114719.91994778137,2017
13233,246296.09213253125,2017
13235,73453.00911019825,2017
13237,159769.93409682103,2017
13239,24551.338740914307,2017
13241,127684.99714418333,2017
13243,54669.676740434326,2017
13245,1491316.449965053,2017
13247,581731.9022624718,2017
13249,41771.58222034895,2017
13251,110017.06188955161,2017
13253,59726.92759661954,2017
13255,397362.7701075279,2017
13257,156448.90906798473,2017
13259,55272.857585677295,2017
13261,197247.4340883867,2017
13263,66674.32525876487,2017
13265,90277.86807224418,2017
13267,140392.09189932264,2017
13269,92412.42672984063,2017
13271,88958.0665508911,2017
13273,89162.7402648282,2017
13275,305228.3157694177,2017
13277,509673.6213687849,2017
13279,208472.902559902,2017
13281,72403.85199856145,2017
13283,144411.04834058328,2017
13285,718957.1130001397,2017
13287,255591.7316158761,2017
13289,226842.97227656515,2017
13291,146332.457156626,2017
13293,154063.07364885014,2017
13295,360465.8363211584,2017
13297,504651.207440205,2017
13299,309207.68837916845,2017
13301,142626.87640064373,2017
13303,150585.24577720033,2017
13305,243215.04259473184,2017
13307,31227.678821090343,2017
13309,50933.14940583152,2017
13311,138825.6027074463,2017
13313,903725.0474978584,2017
13315,52016.90924092524,2017
13317,77421.72541721418,2017
13319,96172.91050978871,2017
13321,203638.1129850336,2017
21001,102071.0946202426,2017
21003,86427.69179280491,2017
21005,136576.16215683904,2017
21007,43538.58520330852,2017
21009,340750.409073135,2017
21011,127750.01072867303,2017
21013,148807.548095089,2017
21015,1085506.379769631,2017
21017,115470.6088484627,2017
21019,292555.2465840354,2017
21021,163817.22703123966,2017
21023,49644.83320148525,2017
21025,68015.73705188576,2017
21027,81900.4067836769,2017
21029,688573.4087015755,2017
21031,87618.2138138726,2017
21033,117950.62259389767,2017
21035,166936.8411109256,2017
21037,533635.0921880506,2017
21039,26960.176534127168,2017
21041,209553.35019339382,2017
21043,247231.66881839858,2017
21045,63227.2991286565,2017
21047,627810.591973783,2017
21049,308732.9166707071,2017
21051,99453.4048528596,2017
21053,47332.29717843613,2017
21055,35926.5239344884,2017
21057,33965.516248869666,2017
21059,513442.184320863,2017
21061,77757.74693985326,2017
21063,19972.20872721534,2017
21065,53810.09282121878,2017
21067,2081565.961834616,2017
21069,67576.9764121601,2017
21071,233316.9320054973,2017
21073,398805.426213924,2017
21075,32275.6986330224,2017
21077,214718.36567604588,2017
21079,85824.35479529497,2017
21081,375716.11778709537,2017
21083,221270.37826232123,2017
21085,171716.26100309362,2017
21087,44429.82794640521,2017
21089,196759.77072144498,2017
21091,45219.451025608316,2017
21093,869078.968128607,2017
21095,130739.42578867238,2017
21097,79559.85454296871,2017
21099,311220.04929066927,2017
21101,307661.32483636984,2017
21103,206893.94621482253,2017
21105,28262.57529400307,2017
21107,347023.9157414126,2017
21109,51699.912706112445,2017
21111,4456874.92475108,2017
21113,245944.67227848302,2017
21115,114835.47350715894,2017
21117,1050126.361139325,2017
21119,76693.64443533828,2017
21121,165689.3046603046,2017
21123,111254.88199949676,2017
21125,601545.6722139,2017
21127,93104.05938030474,2017
21129,27233.61549108922,2017
21131,54662.07638021049,2017
21133,105321.28356798101,2017
21135,64930.03969289764,2017
21137,120241.7860203628,2017
21139,88211.32233251752,2017
21141,154245.7655381424,2017
21143,193105.1913935199,2017
21145,484673.01187827304,2017
21147,66559.65707963,2017
21149,49785.65545681964,2017
21151,732857.202040607,2017
21153,64525.617083727586,2017
21155,87608.40643134729,2017
21157,291521.41912544303,2017
21159,45015.0395334113,2017
21161,108654.71597731633,2017
21163,135147.45666329926,2017
21165,26593.270910659867,2017
21167,115632.28235616517,2017
21169,56236.79586923777,2017
21171,37766.18969059061,2017
21173,199264.57499035398,2017
21175,60906.98743509332,2017
21177,181843.33953482908,2017
21179,291445.5760696716,2017
21181,29402.50850350342,2017
21183,186210.65063750985,2017
