Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
6055,951075,99835,368199,187217,400291,2973294,5320067,5327691,10218649,4035852,1431362,6670339,3418141,112854,79271,2486649,609924,1381608.834,3414632.534,3232022.408,2565117.142,2424728.815,2519550.193,2123338.534,1999743.753,2179855.957,2380366.339,2370221.176,2538249.543,2648656.156,2575540.229,2512876.021,2507889.368,2515827.421,2515472.065,2552902.993,2605704.557,2646353.742,2671743.449,2700525.12,2716015.061,2722444.775,2736467.482,2757810.303,2781666.393,2825167.227
6059,,,,,,,,1102551308,1070049370,1636154073,2148770997,1903841466,1664467006,1927090482,1923444187,2463952838,2283890679,2114146110,1931843313,2011003004,2100821306,2145175905,2144832737,2167836450,2215885351,2243452134,2273998347,2255866327,2253191276,2266463769,2298404812,2325838621,2347317547,2366612885,2387782809,2408777688,2427190139,2444728767,2461025761,2480609162,2502317233,2524830518,2546443881,2567501655,2588519229,2622300178
6065,,,,,,,,62129679.63,132200992,176314309.5,148135065.9,123601638.1,82890487.42,56397185.4,54450283.25,47578748.67,45398102.32,59063250.26,94324339.05,97397465.63,94075310.84,86225224.61,80315648.85,76183804.42,75543621.04,77371235.35,79559144.42,82611818.56,86164036.92,88750930.2,88218922.99,87342789.37,86700139.6,86745472.39,87359228.27,88425973.28,89655652.36,90828255.8,91903943.7,92790919.28,93423485.33,93869501.95,94408875.4,95083365.43,95883582.44,97369774.97
6071,,,,,,,,51708331.37,81035514.01,134343458.5,114051181.1,108146206.9,56358062.58,32112850.6,27361404.75,32151942.33,24023433.68,35433584.95,66505660.85,67918133.21,66666019.58,60205900.42,55066123.62,49999388.4,49392424.05,51041837.87,53302242.85,55321135.18,58308643.05,60492171.32,59918156.41,59154522.26,58437515.7,58268715.34,58574417.28,59392942.76,60347537.73,61235809.08,61993104.04,62629973.79,63042464.45,63285901.53,63607368.11,64032412.48,64566470.81,65618131.18
6073,,,,,,,,225994206,323646031,239119089,408100067,273777284,287077760,168373175,183147887,192488573,169118687,206042452.9,255520861.1,258339314.6,252105491.6,253345102.8,238573038,235212632.8,230261870.6,236169427.9,241230575,245883220.6,253210744.3,257713172.1,257922438.2,257882645.4,258434101,258919869,260862066.5,263310421.6,266465056,269356911.4,272041698.1,274538643.6,276574488.6,278374886.9,280327166.1,282469597.7,284763895.1,288917067.1
6075,217853858.7,188648097.5,283122430,260099824.4,274588455.7,303046439.8,304497546,2282681938,2598449602,3070732268,2620808532,2954682864,3655497376,3976198196,4855792682,4924170128,4023129512,4415566306,3758781352,3899681751,4023890274,4114873538,4257488834,4381847586,4451181015,4496520284,4462226101,4418131444,4455836174,4459680116,4526584088,4586424766,4640121240,4690258521,4731568355,4764950792,4794901543,4823383391,4857857495,4899831346,4942212703,4988272632,5032342902,5074907815,5116410170,5181754122
6077,,,,,,,,49800015,57618876,50526454,55912226,18402042,20372418,25071394,44916367,41300549,70471714,41639283.05,45439355,45023110.18,43820787.08,43180700.69,41965418.73,44214650.14,46490499.57,48535050.56,48880470.35,49604008.3,47612090.94,48182222.6,48444041.78,48770585.25,49243065.99,49821746.31,50571668.49,51178474.79,51625963.33,51921005,52211237.86,52460109.77,52922875.2,53375392.04,53846111.84,54330593.92,54816221.59,55473986.09
6079,,,,,,,,1001725,1769832,5676334,5217341,1288594,3133398,1220183,4988014,1800228,13468461,5069718.504,4260501.812,4571566.871,4839005.2,4759078.36,4715335.108,5042433.122,5224659.202,5606904.658,5665980.584,6034984.24,5325425.095,5349833.451,5453815.108,5538029.712,5604754.779,5685478.438,5778083.028,5848304.156,5907833.901,5936558.965,5962386.902,5955457.156,6015596.58,6079146.696,6138837.439,6196187.267,6252642.187,6320576.495
6081,1362082469,1074152911,1330995759,1732001528,1739908886,1976098406,2457631878,336377383.5,504535612,577548644.5,509879561.6,608320465.8,546972412.5,603650994.7,682771887.6,700384202.7,715922185,669438546.6,616235635.6,642949377.8,656161600.9,663665564.9,678345138,685029311.2,698207469.8,707233315.1,709568269.5,710444930.5,709922101.6,713786441,723098108.8,730748669.4,737868344.2,744951336.7,751309201.2,757635917.9,763308633.4,768661277.4,774301973.7,780397418.7,787124608,794125069.4,800904915.7,807601648.3,814258009.1,824826935.6
6083,,,,,,,,2401191,2229714,11346530,5639150,8244888,10489853,9236611,10987792,8369586,3221043,8714806.31,7720474.775,8228224.59,8800809.692,8557809.117,8836408.396,8892871.707,8740432.583,8693070.098,8474028.462,8483997.97,8986370.944,9012293.023,9135602.946,9222216.335,9262441.514,9329701.88,9376788.985,9422981.089,9488133.446,9564025.857,9668071.063,9781096.221,9856956.362,9937583.317,10014135.99,10089728.32,10168696.6,10313822.72
