YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,6,13,12,"1,416,643",1416642759
2000,6,13,14,"1,365,581",1365581086
2000,6,15,2,"148,182",148182394.4
2000,6,17,2,"376,262",376261934.7
2000,6,17,12,"240,490",240490366.5
2000,6,17,14,"96,952",96952499.27
2000,6,19,1,"607,024",607023634.7
2000,6,19,2,"433,872",433872108.4
2000,6,19,12,"1,045,549",1045549245
2000,6,19,14,"1,212,968",1212968006
2000,6,21,1,"197,213",197212547.9
2000,6,21,2,"25,208",25207580.95
2000,6,21,11,"34,284",34283779.25
2000,6,21,14,"16,693",16692710.27
2000,6,23,2,"402,090",402089631.3
2000,6,23,12,"161,095",161095392.6
2000,6,23,14,"105,439",105439337.3
2000,6,25,1,"390,180",390179665.2
2000,6,25,2,"243,509",243509176.9
2000,6,25,11,"39,324",39323620.84
2000,6,25,12,"25,836",25835669.16
2000,6,25,14,"127,350",127349713.9
2000,6,27,2,"325,675",325675220.2
2000,6,29,1,"995,972",995971786.7
2000,6,29,2,"1,519,272",1519272477
2000,6,29,12,"915,032",915031956.9
2000,6,29,14,"1,214,380",1214379729
2000,6,31,1,"242,950",242949720.7
2000,6,31,2,"253,052",253051842.2
2000,6,31,11,"18,012",18012001.92
2000,6,31,12,"38,683",38682540
2000,6,31,14,"42,394",42393717.78
2000,6,33,2,"157,006",157005837.5
2000,6,33,12,"15,112",15111660.91
2000,6,35,2,"221,521",221520962.7
2000,6,35,14,"16,917",16916623.94
2000,6,37,1,"550,613",550613121.6
2000,6,37,2,"1,013,248",1013247826
2000,6,37,11,"21,973,177",21973176739
2000,6,37,12,"11,383,408",11383408322
2000,6,37,14,"18,860,915",18860915297
2000,6,39,2,"656,894",656893785.6
2000,6,39,12,"141,848",141848313.1
2000,6,39,14,"36,921",36920802.29
2000,6,41,2,"140,005",140004986.3
2000,6,41,11,"101,691",101690768.9
2000,6,41,12,"1,225,906",1225905507
