b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"02","454",,2113,,34859
"02","4541",,117,,1530
"02","45411",,117,,1530
"02","4542",,71,,2701
"02","45421",,71,,2701
"02","4543",,1925,,30628
"02","45431",,22,,3384
"02","45439",,1903,,27244
"02","48-49",,2007,,84222
"02","481",,235,,11345
"02","483",,156,,8537
"02","484",,581,,35411
"02","4841",,500,,29057
"02","48411",,260,,11992
"02","48412",,240,,17065
"02","4842",,81,,6354
"02","485",,527,,15564
"02","4852","D",0,"D",0
"02","48521","D",0,"D",0
"02","4853",,463,,14150
"02","4854",,5,,168
"02","48541",,5,,168
"02","4855","D",0,"D",0
"02","48551","D",0,"D",0
"02","4859",,52,,862
"02","48599",,52,,862
"02","487",,85,,2515
"02","488",,234,,7709
"02","492","D",0,"D",0
"02","493","D",0,"D",0
"02","4931","D",0,"D",0
"02","51",,451,,11222
"02","511",,147,,3070
"02","512",,88,,2127
"02","5121",,74,,1995
"02","5122",,14,,132
"02","513",,82,,3695
"02","514",,134,,2330
"02","5141",,75,,1159
"02","5142",,59,,1171
"02","51421",,59,,1171
"02","52",,781,,112589
"02","522",,191,,5110
"02","5221","D",0,"D",0
"02","5222",,172,,4667
"02","5223","D",0,"D",0
"02","523",,276,,93131
"02","5231","D",0,"D",0
"02","52311","D",0,"D",0
"02","52312","D",0,"D",0
"02","52313","D",0,"D",0
"02","52314","D",0,"D",0
"02","5232","D",0,"D",0
"02","52321","D",0,"D",0
"02","5239","D",0,"D",0
"02","524",,314,,14348
"02","5241","D",0,"D",0
"02","5242","D",0,"D",0
"02","52421",,215,,11301
"02","52429","D",0,"D",0
"02","53",,3582,,257641
"02","531",,2977,,234601
"02","5311",,1353,,156830
"02","5312",,883,,45949
"02","53121",,883,,45949
"02","5313",,741,,31822
"02","53131",,204,,9059
"02","53132",,38,,2263
"02","53139",,499,,20500
"02","532","D",0,"D",0
"02","5321",,156,,3597
"02","5322","D",0,"D",0
"02","53221","D",0,"D",0
"02","53222","D",0,"D",0
"02","53223",,52,,1356
"02","53229",,47,,1725
"02","5323","D",0,"D",0
"02","53231","D",0,"D",0
"02","5324",,329,,14394
"02","533","D",0,"D",0
"02","5331","D",0,"D",0
"02","53311","D",0,"D",0
"02","54",,5462,,170472
"02","541",,5462,,170472
"02","5411",,466,,25029
"02","5412",,873,,15933
"02","54121",,873,,15933
"02","541211","D",0,"D",0
"02","541213",,105,,1924
"02","541214","D",0,"D",0
"02","541219",,673,,10832
"02","54131",,73,,3259
"02","54132",,25,,463
"02","54133",,321,,18745
"02","54134",,86,,1159
"02","54135","D",0,"D",0
"02","54136",,15,,513
"02","54137",,62,,1500
"02","54138","D",0,"D",0
"02","5413-a",,616,,26445
"02","5414",,189,,5120
"02","5415",,491,,12643
"02","54151",,491,,12643
"02","5416",,897,,31588
"02","5417",,53,,1574
"02","5418",,139,,7556
"02","5419",,1738,,44584
"02","54191","D",0,"D",0
"02","54192",,190,,3904
"02","54193",,47,,911
"02","54194","D",0,"D",0
"02","54199",,1449,,38237
"02","56",,2042,,39879
"02","561",,2003,,37037
"02","5611",,274,,3646
"02","56111",,274,,3646
"02","5612",,80,,1363
"02","56121",,80,,1363
"02","5613",,9,,117
"02","5614",,336,,6674
"02","56141","D",0,"D",0
"02","56142","D",0,"D",0
"02","56143",,37,,780
"02","56144","D",0,"D",0
"02","56149",,204,,3918
"02","5615",,97,,5991
"02","5616",,51,,1201
"02","56171","D",0,"D",0
