ST,CO,2016,2017,2018,2019,2020,average
8,7,0.758560142,0.75929332,0.746655942,0.743250836,0.745835868,0.750719222
8,9,0.720726253,0.725539311,0.721982333,0.730911653,0.735237146,0.726879339
8,11,0.789985986,0.789490438,0.779202726,0.784431278,0.790389035,0.786699893
8,13,0.562718741,0.564697061,0.565129059,0.561776954,0.551407029,0.561145769
8,14,0.674745247,0.670906118,0.674354469,0.668904625,0.653152908,0.668412673
8,15,0.625037723,0.636101828,0.647188569,0.655710846,0.6729864,0.647405073
8,17,0.827379773,0.818702008,0.81722261,0.823569919,0.813326617,0.820040185
8,19,0.959616596,0.958608854,0.958567199,0.961743917,0.958674858,0.959442285
8,21,0.588291467,0.570431134,0.59238793,0.602256929,0.60108413,0.590890318
8,23,0.708266569,0.713395504,0.730367714,0.733608399,0.734383463,0.72400433
8,25,0,0,0,0,0,0
8,27,0,0,0,0,0,0
8,29,0.484853715,0.482919226,0.489907414,0.497865214,0.492342629,0.48957764
8,31,0.78110784,0.780847444,0.783321885,0.782517009,0.777273642,0.781013564
8,33,0.82942563,0.83735891,0.837933696,0.835419479,0.841224364,0.836272416
8,35,0.779547904,0.779362385,0.785881993,0.782905532,0.772103654,0.779960294
8,37,0.758143196,0.758020119,0.759178058,0.761533004,0.765528751,0.760480626
8,39,0.547656516,0.532096078,0.527894808,0.537566697,0.536559187,0.536354657
8,41,0.773072082,0.776632529,0.785163815,0.794281677,0.789499125,0.783729846
8,43,0.525898202,0.525804209,0.515853786,0.515600611,0.520446507,0.520720663
8,45,0.83345016,0.826492829,0.832406087,0.836391361,0.862162615,0.83818061
8,47,0,0,0,0,0,0
8,49,0.738544042,0.736367462,0.732096468,0.743028513,0.746359268,0.739279151
8,51,0.447062443,0.45475504,0.461253758,0.464160248,0.462022121,0.457850722
8,53,0,0,0,0,0,0
8,55,0.819885152,0.82342036,0.823013287,0.832143102,0.828432328,0.825378846
8,57,0.071690849,0.071858785,0.073978518,0.084949368,0.077066432,0.07590879
8,59,0.760613113,0.761074427,0.7626295,0.760839322,0.753679496,0.759767172
8,61,0.536745592,0.552634966,0.572190553,0.581630556,0.601745784,0.56898949
8,63,0.953149838,0.946346798,0.945983825,0.944706143,0.937747872,0.945586895
8,65,0,0,0,0,0,0
8,67,0.648208283,0.648520963,0.649797464,0.661054565,0.661601044,0.653836464
8,69,0.520738532,0.524298335,0.525906349,0.531325096,0.524531517,0.525359966
8,71,0.702780175,0.697234406,0.704262018,0.712837615,0.738665033,0.711155849
8,73,0.791796787,0.792372137,0.792517495,0.798187819,0.781836714,0.79134219
8,75,0.626851566,0.63032233,0.644049879,0.635168179,0.648597714,0.636997934
8,77,0.555871007,0.561058967,0.570330015,0.580242086,0.582825909,0.570065597
8,79,0.604266549,0.611440839,0.589766577,0.60564895,0.607302399,0.603685063
8,81,0.740468679,0.741804882,0.724379137,0.728618229,0.737403831,0.734534952
8,83,0.723151874,0.724374224,0.717868129,0.715443039,0.714505495,0.719068552
8,85,0.629587618,0.637791742,0.649317397,0.652628307,0.66822045,0.647509103
8,87,0.70961667,0.717581231,0.720225372,0.714623882,0.722042246,0.71681788
8,89,0.640897826,0.634200635,0.653009605,0.649057573,0.65932847,0.647298822
8,91,0.93261215,0.927659457,0.927740299,0.928176325,0.938069344,0.930851515
8,93,0.613113393,0.615140059,0.610200907,0.615508736,0.620100656,0.61481275
8,95,0.252003692,0.232306787,0.24248216,0.262508356,0.288354143,0.255531028
