"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","4246","-",,40,"G",,2833
"01","4246","C",,12,"G",,842
"01","4246","S",,25,"G",,1288
"01","4246","P","D",0,"D","D",0
"01","4247","-",,26,"G",,2773
"01","4247","C","D",0,"D","D",0
"01","4247","S",,22,"G",,2198
"01","4247","P","D",0,"D","D",0
"01","4248","-",,22,"H",,928
"01","4248","C",,7,"H",,458
"01","4248","S",,8,"H",,97
"01","4248","P","D",0,"D","D",0
"01","4249","-",,859,"G",,44353
"01","4249","C",,70,"G",,7538
"01","4249","S",,761,"G",,33227
"01","4249","P",,28,"G",,3588
"01","42491","-",,37,"G",,3245
"01","42491","C","D",0,"D","D",0
"01","42491","S",,36,"G",,3143
"01","42492","-",,177,"G",,4487
"01","42492","C",,6,"H",,262
"01","42492","S",,166,"H",,3595
"01","42492","P","D",0,"D","D",0
"01","42493","-",,162,"G",,6774
"01","42493","C",,7,"G",,507
"01","42493","S",,151,"G",,5807
"01","42493","P",,4,"G",,460
"01","42494","-",,10,"H",,1290
"01","42494","C","D",0,"D","D",0
"01","42494","S",,7,"H",,151
"01","42494","P","D",0,"D","D",0
"01","42495","-",,44,"H",,1164
"01","42495","C","D",0,"D","D",0
"01","42495","S",,41,"G",,831
"01","42495","P","D",0,"D","D",0
"01","42499","-",,429,"G",,27393
"01","42499","C",,52,"G",,5881
"01","42499","S",,360,"G",,19700
"01","42499","P",,17,"H",,1812
"01","425","-",,537,"G",,37822
"01","425","C",,40,"H",,5123
"01","425","S",,475,"G",,29135
"01","425","P",,22,"G",,3564
"01","4251","-",,537,"G",,37822
"01","4251","C",,40,"H",,5123
"01","4251","S",,475,"G",,29135
"01","4251","P",,22,"G",,3564
"01","42511","-","D",0,"D","D",0
"01","42511","C","D",0,"D","D",0
"01","42511","S","D",0,"D","D",0
"01","42511","P","D",0,"D","D",0
"01","42512","-",,462,"G",,32561
"01","42512","C",,37,"H",,5032
"01","42512","S",,409,"G",,25061
"01","42512","P",,16,"G",,2468
