Year,ST,CO,VMT
2016,18,165,166289861.9
2016,18,167,528219176.6
2016,18,169,47245866.16
2016,18,171,41915760.94
2016,18,173,254402455.8
2016,18,175,27427916.66
2016,18,177,451009201.9
2016,18,179,38514909.8
2016,18,181,289398938.8
2016,18,183,67863842.61
2016,19,1,208190865
2016,19,3,21716427
2016,19,5,3762586.14
2016,19,7,38966362.02
2016,19,9,24437838.3
2016,19,11,177258246.9
2016,19,13,573164477.7
2016,19,15,117526937.1
2016,19,17,175857484.4
2016,19,19,173991404.1
2016,19,21,63671782.92
2016,19,23,27907624.44
2016,19,25,46284341.7
2016,19,27,89085179.58
2016,19,29,223748427
2016,19,31,352873428.3
2016,19,33,341859351.1
2016,19,35,39139553.22
2016,19,37,70868839.86
2016,19,39,142642219.4
2016,19,41,89385193.44
2016,19,43,82128665.16
2016,19,45,237506004.7
2016,19,47,78930934.14
2016,19,49,472021020.7
2016,19,51,42556199.82
2016,19,53,122995141.8
2016,19,55,121812511.6
2016,19,57,152585912.4
2016,19,59,102367846.6
2016,19,61,407392224.7
2016,19,63,27010756.08
2016,19,65,87426471.24
2016,19,67,129911264.5
2016,19,69,178054121.2
2016,19,71,128698508.8
2016,19,73,45980733.72
2016,19,75,128404383.9
2016,19,77,5772947.28
2016,19,79,274983339.6
2016,19,81,39386068.86
2016,19,83,100740808.3
2016,19,85,220291242.2
2016,19,87,149568542.5
2016,19,89,42789868.86
2016,19,91,52102017.84
2016,19,93,44891510.4
2016,19,95,287116129.8
2016,19,97,62765735.28
2016,19,99,458781885.7
2016,19,101,75044749.8
2016,19,103,908291553.1
2016,19,105,102060966.6
2016,19,107,20862512.4
2016,19,109,77596410.3
2016,19,111,190792585.1
2016,19,113,1083420800
2016,19,115,49925371.92
2016,19,117,39849128.4
2016,19,119,6518833.32
2016,19,121,51250028.4
2016,19,123,163579996.1
2016,19,125,150915488.4
2016,19,127,185028806.8
2016,19,129,179850247.9
2016,19,131,0
2016,19,133,139286424
2016,19,135,58962662.22
2016,19,137,47465921.46
2016,19,139,180854822.8
2016,19,141,52302428.46
2016,19,143,28883936.76
2016,19,145,51667411.14
2016,19,147,35444819.82
2016,19,149,142658089.2
2016,19,151,16668167.04
2016,19,153,2515979449
2016,19,155,873371548
2016,19,157,292299183.9
2016,19,159,0
2016,19,161,57557848.08
2016,19,163,923127471.4
2016,19,165,40061613.36
2016,19,167,147866540
2016,19,169,487068640
2016,19,171,102712135.5
2016,19,173,0
2016,19,175,44996109.54
2016,19,177,0
2016,19,179,156406344.8
2016,19,181,426011405.9
2016,19,183,189064100.3
2016,19,185,10535299.02
2016,19,187,143541948.5
2016,19,189,0
2016,19,191,86727718.68
2016,19,193,484002224.3
2016,19,195,118912851
2016,19,197,53598895.62
2016,20,1,64459356.36
2016,20,3,58099970.94
2016,20,5,37722723.3
2016,20,7,0
2016,20,9,107747969.8
2016,20,11,59183400.48
2016,20,13,78575108.94
2016,20,15,393747823.4
2016,20,17,148276339.3
2016,20,19,23280070.5
2016,20,21,126526273.2
2016,20,23,0
2016,20,25,16776653.1
2016,20,27,19622522.7
2016,20,29,25706976.24
2016,20,31,105635493.9
2016,20,33,0
2016,20,35,100424891.7
2016,20,37,72792828.66
