Fips_Txt,True_Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
05053,5053,280154,294395,318728,322554,332099,325898,323276,303767,302804,315461,317995,337405,347621,362445,366270,362242,367085,367371,384813,393888,414064
05055,5055,956842,1013082,1082075,1134829,1272462,1407798,1509994,1445644,1099419,1185852,1287238,1353848,1332661,1290228,1293662,1265622,1282141,1313558,1347035,1342422,1399980
05057,5057,635930,667452,716325,822947,810400,735828,632569,597983,582704,655374,685424,697799,810314,849302,803736,829908,902705,880029,863598,866671,930944
05059,5059,657874,700163,692889,749911,780650,841626,819741,791821,784771,769827,775673,866907,838301,761863,848359,932605,936556,928914,866760,883388,904301
05061,5061,526966,576302,582365,666589,688253,633114,594956,572761,479439,484835,487183,510827,560668,595735,609941,590970,590036,607417,538680,507483,576614
05063,5063,1623249,1627767,1680068,1754286,1842588,1778895,1722695,1713639,1650511,1776286,1723822,1674685,1739849,1747241,1533786,1638652,1648941,1761008,1645465,1503668,1624623
05065,5065,235142,254010,267615,270399,272589,266650,247838,247801,235704,243283,247635,284664,297009,298371,285152,275021,267870,272594,259698,243082,254670
05067,5067,446358,444449,482777,528918,506839,527524,498476,525169,525077,523149,512549,560426,605464,603227,580144,619488,626591,662295,638600,657628,606422
05069,5069,3211623,3173955,3317168,3444187,3469016,3499356,3314604,3333467,3231810,3330640,3307675,3293159,3336110,3170375,2976772,2914044,2829011,2751458,2766305,2669608,2848240
05071,5071,542060,601261,606848,672426,699409,683168,672265,643859,584378,603650,619191,626119,740681,905013,751853,710408,660153,673339,652518,631757,692669
05073,5073,201672,198077,169982,183558,182348,173738,168563,158035,139942,126469,132545,172280,164951,177672,176318,164158,151538,146904,128281,122990,145295
05075,5075,379668,403127,441854,425260,421204,440558,363073,367813,397821,390089,352911,392119,427387,463735,383915,413720,415937,411606,402947,421281,399878
05077,5077,232227,197150,260917,236621,202647,239378,233979,219900,206973,208561,279712,213179,205430,158715,158543,151514,157322,146519,163006,157646,159360
05079,5079,237436,231014,256221,265439,252824,248130,245732,224331,223770,227736,221841,244702,288377,244865,259552,253738,231782,237468,216774,222519,251974
05081,5081,403219,476118,448651,515935,511814,537042,575988,679267,664112,551912,534549,546678,515508,500025,437754,471109,445542,429947,439697,458989,442105
05083,5083,449842,469213,479599,542472,580878,567738,586260,546491,507937,495849,462823,516989,497051,527291,547639,517551,491949,510809,442569,417701,485947
05085,5085,939274,951621,1053711,1113735,1119066,1186944,1182099,1144284,1177111,1217746,1192604,1195892,1270038,1239412,1208641,1189976,1208623,1210731,1197716,1207508,1257541
05087,5087,247759,282704,289985,344354,343515,335934,294259,297109,274552,292267,274790,316211,335824,375733,377898,348184,371896,382378,344405,360917,421198
05089,5089,238125,270559,265721,295787,318049,314994,330838,386167,335956,372289,401475,345152,374137,403898,585926,555411,506173,459496,549604,487513,529075
